POP,Fan 1,Fan 2,Fan 3,Fan 4
BDGP072,58,50,50,0
BDGP109,54,55,55,0
BDGP073,58,50,50,0
BDGP065,49,50,50,0
BDGP093,46,46,46,0
AGGP051,50,49,50,0
AGGP015,58,89,64,0
AGGP004,48,48,48,0
AGGP056,48,48,48,0
BDGP047,44,44,44,0
AGGP012,54,55,48,0
BDGP094,48,48,48,48
BDGP063,50,57,50,0
AGGP008,52,50,49,0
BDGP079,50,50,50,0
AGGP006,52,56,52,0
AGGP005,51,51,48,0
AGGP053,52,51,49,0
AGGP017,48,49,48,0
AGGP019,51,50,49,0
AGGP022,48,48,56,0
AGGP045,50,50,50,0
AGGP044,51,49,50,0
BDGP066,50,50,50,0
BDGP085,47,47,47,0
AGGP021,47,46,49,0
BDGP068,0,0,50,0
AGGP020,48,49,50,0
AGGP048,58,59,61,0
BDGP080,48,48,48,0
BDGP096,49,49,49,0
AGGP050,50,50,49,0
BDGP088,50,50,50,0
BDGP039,48,58,48,0
BDGP050,0,0,49,0
AGGP052,0,0,0,0
AGGP026,50,50,50,0
AGGP054,48,48,48,0
AGGP043,56,60,59,0
AGGP023,50,49,49,0
BDGP026,56,57,56,0
BDGP060,49,50,50,0
AGGP049,48,48,48,0
AGGP010,48,48,48,0
BDGP009,48,48,49,0
BDGP091,41,42,42,0
BDGP054,0,0,50,0
AGGP018,60,61,62,0
BDGP062,0,0,0,0
BDGP045,48,48,48,0
BDGP081,44,44,44,0
BDGP078,56,49,57,0
BDGP100,48,48,48,0
BDHP019,50,50,49,0
BDGP083,0,0,50,0
BDHP038,48,48,10,0
BDHP043,0,0,0,0
BDGP076,41,40,40,0
BDGP097,0,49,49,0
BDGP101,0,0,49,0
BDHP041,52,51,51,52
BDHP049,0,0,0,0
BDGP057,49,49,49,0
BLUP012,48,49,49,0
BDGP046,51,50,49,0
BDHP027,50,50,50,0
BDGP070,48,49,49,0
BLUP006,54,69,53,0
BLUP002,48,48,48,0
BDGP106,0,0,49,0
BDHP036,0,0,0,0
BDGP059,52,48,50,0
BDHP028,51,49,54,0
BDHP025,57,59,58,0
BDGP098,49,51,49,0
BDHP033,47,47,47,0
BDHP048,48,48,48,0
BDGP041,63,49,63,63
BDHP034,49,49,50,0
BDHP026,50,50,49,0
BDGP034,0,0,51,0
BDGP095,46,46,46,0
BDHP029,49,49,46,0
BDGP067,0,0,51,0
BDHP040,53,53,51,0
BDHP032,54,54,54,0
BDGP092,52,53,48,0
BDHP035,56,55,56,0
BDHP030,47,48,48,0
BDGP004,56,51,54,0
BDGP069,50,50,50,0
BDHP020,50,48,48,0
BDHP047,0,0,0,0
BDHP042,48,49,48,0
BDGP086,46,47,47,0
BDHP039,47,47,46,0
BDHP037,0,0,0,0
BDHP031,48,47,46,0
BLUP009,57,48,57,0
BLUP010,56,57,58,0
BRUP063,49,48,49,0
BRUP038,49,48,48,0
BRUP006,48,48,48,0
BPCP003,47,47,47,0
BRUP015,55,55,54,0
BRUP016,49,57,49,0
BRUP010,48,48,48,0
BRUP050,61,65,64,0
BRUP074,48,58,48,0
